component_name,category,input_bandwidth,power_consumption,supply_voltage,stock_quantity,price
Component_1,Transistor,81.49 MHz,3.79 W,5.31 V,46,49.88
Component_2,Capacitor,83.34 MHz,2.14 W,9.88 V,485,33.19
Component_3,Resistor,37.97 MHz,2.00 W,1.00 V,338,14.09
Component_4,Transistor,31.47 MHz,5.86 W,9.29 V,162,45.63
Component_5,Capacitor,5.18 MHz,9.87 W,6.40 V,42,34.55
Component_6,Inductor,39.87 MHz,9.59 W,8.85 V,256,15.06
Component_7,Capacitor,1.67 MHz,1.85 W,10.66 V,49,36.92
Component_8,Inductor,45.97 MHz,2.23 W,3.16 V,184,31.2
Component_9,Inductor,95.14 MHz,4.77 W,3.01 V,481,27.13
Component_10,Diode,32.01 MHz,8.93 W,5.62 V,280,37.47
Component_11,Diode,18.62 MHz,0.98 W,11.66 V,183,16.69
Component_12,Capacitor,19.80 MHz,8.52 W,5.27 V,233,40.65
Component_13,Diode,34.43 MHz,4.42 W,10.59 V,426,41.88
Component_14,Diode,37.47 MHz,6.35 W,10.76 V,47,16.24
Component_15,Transistor,70.81 MHz,1.48 W,10.90 V,168,25.73
Component_16,Resistor,20.63 MHz,0.89 W,10.24 V,226,42.11
Component_17,Transistor,34.46 MHz,7.43 W,3.95 V,379,28.62
Component_18,Diode,32.02 MHz,9.12 W,1.01 V,477,25.63
Component_19,Resistor,61.97 MHz,4.00 W,3.13 V,115,42.51
Component_20,Resistor,52.45 MHz,0.81 W,1.81 V,215,20.25
Component_21,Inductor,98.12 MHz,1.04 W,10.06 V,124,3.37
Component_22,Inductor,31.60 MHz,4.47 W,11.62 V,204,3.88
Component_23,Inductor,57.39 MHz,5.98 W,10.19 V,494,12.41
Component_24,Resistor,10.60 MHz,8.41 W,10.32 V,31,15.46
Component_25,Diode,34.42 MHz,0.52 W,4.56 V,447,18.25
Component_26,Resistor,60.19 MHz,1.73 W,11.43 V,37,20.35
Component_27,Transistor,99.83 MHz,1.19 W,3.63 V,24,4.33
Component_28,Transistor,24.22 MHz,9.17 W,2.01 V,445,33.84
Component_29,Diode,84.50 MHz,6.80 W,1.58 V,455,33.65
Component_30,Inductor,9.78 MHz,6.68 W,7.71 V,225,36.57
Component_31,Diode,39.28 MHz,4.08 W,11.40 V,435,27.68
Component_32,Diode,99.11 MHz,6.33 W,9.99 V,305,17.35
Component_33,Transistor,71.74 MHz,9.03 W,5.09 V,283,21.38
Component_34,Capacitor,27.08 MHz,9.57 W,5.17 V,267,26.03
Component_35,Inductor,5.02 MHz,5.71 W,6.25 V,373,37.64
Component_36,Transistor,33.82 MHz,6.91 W,8.97 V,149,45.55
Component_37,Diode,59.74 MHz,3.54 W,7.35 V,325,28.22
Component_38,Resistor,19.62 MHz,9.65 W,4.41 V,172,7.93
Component_39,Inductor,20.14 MHz,4.93 W,10.19 V,17,20.05
Component_40,Inductor,27.82 MHz,8.11 W,7.19 V,353,31.87
Component_41,Inductor,73.00 MHz,5.96 W,4.60 V,330,39.8
Component_42,Capacitor,56.78 MHz,6.32 W,3.14 V,336,20.8
Component_43,Capacitor,85.11 MHz,4.85 W,3.09 V,221,23.79
Component_44,Diode,39.55 MHz,8.92 W,2.24 V,328,43.06
Component_45,Transistor,77.05 MHz,0.57 W,7.17 V,490,28.55
Component_46,Capacitor,30.85 MHz,9.50 W,3.07 V,328,8.77
Component_47,Diode,89.20 MHz,8.00 W,6.10 V,300,5.1
Component_48,Resistor,85.60 MHz,6.07 W,5.59 V,452,15.88
Component_49,Diode,1.15 MHz,6.98 W,1.56 V,382,11.29
Component_50,Transistor,73.34 MHz,9.46 W,7.57 V,345,16.2
Component_51,Resistor,93.73 MHz,0.38 W,3.98 V,279,37.52
Component_52,Diode,22.09 MHz,9.70 W,7.62 V,414,48.74
Component_53,Transistor,11.37 MHz,5.49 W,8.11 V,235,37.31
Component_54,Inductor,56.90 MHz,2.26 W,11.40 V,108,41.81
Component_55,Resistor,14.04 MHz,7.05 W,3.48 V,182,1.2
Component_56,Resistor,66.21 MHz,7.46 W,3.91 V,396,17.05
Component_57,Capacitor,61.32 MHz,8.23 W,2.96 V,460,15.52
Component_58,Transistor,19.14 MHz,5.64 W,10.91 V,260,42.82
Component_59,Inductor,42.28 MHz,0.94 W,1.73 V,148,32.37
Component_60,Inductor,39.29 MHz,6.33 W,9.83 V,204,14.89
Component_61,Capacitor,54.16 MHz,5.48 W,7.36 V,423,29.95
